GEO_ID,NAME,Estimate!!All families!!Percent below poverty level!!Families
16001,"Ada County, Idaho",7.1
16003,"Adams County, Idaho",7.6
16005,"Bannock County, Idaho",12
16007,"Bear Lake County, Idaho",11.5
16009,"Benewah County, Idaho",9.3
16011,"Bingham County, Idaho",10.6
16013,"Blaine County, Idaho",11.5
16015,"Boise County, Idaho",6.7
16017,"Bonner County, Idaho",8.6
16019,"Bonneville County, Idaho",8.7
16021,"Boundary County, Idaho",12.9
16023,"Butte County, Idaho",11.7
16025,"Camas County, Idaho",13.6
16027,"Canyon County, Idaho",11.5
16029,"Caribou County, Idaho",6.1
16031,"Cassia County, Idaho",11.5
16033,"Clark County, Idaho",19.3
16035,"Clearwater County, Idaho",11.1
16037,"Custer County, Idaho",15.6
16039,"Elmore County, Idaho",11.4
16041,"Franklin County, Idaho",11.7
16043,"Fremont County, Idaho",9.5
16045,"Gem County, Idaho",14.9
16047,"Gooding County, Idaho",11
16049,"Idaho County, Idaho",7
16051,"Jefferson County, Idaho",6.6
16053,"Jerome County, Idaho",12.7
16055,"Kootenai County, Idaho",9.7
16057,"Latah County, Idaho",9.8
16059,"Lemhi County, Idaho",9.5
16061,"Lewis County, Idaho",8.8
16063,"Lincoln County, Idaho",6.7
16065,"Madison County, Idaho",29.3
16067,"Minidoka County, Idaho",13.9
16069,"Nez Perce County, Idaho",9.4
16071,"Oneida County, Idaho",7.7
16073,"Owyhee County, Idaho",19.1
16075,"Payette County, Idaho",11.7
16077,"Power County, Idaho",8.8
16079,"Shoshone County, Idaho",12.1
16081,"Teton County, Idaho",5.9
16083,"Twin Falls County, Idaho",10.5
16085,"Valley County, Idaho",4.2
16087,"Washington County, Idaho",11.3
