Geography,Geographic Area Name,0-25,25-50,50-75,75-100,100+,Estimate!!Total!!Population 16 years and over with earnings
16001,"Ada County, Idaho",19312,60080,39178,20913,33374,273001
16003,"Adams County, Idaho",164,467,152,127,228,1915
16005,"Bannock County, Idaho",4000,10123,5663,2954,2838,44958
16007,"Bear Lake County, Idaho",331,466,370,253,215,3079
16009,"Benewah County, Idaho",416,1060,627,210,126,4233
16011,"Bingham County, Idaho",2999,5137,3182,1283,1773,23700
16013,"Blaine County, Idaho",1272,3488,2157,1016,917,13755
16015,"Boise County, Idaho",294,699,428,338,312,3659
16017,"Bonner County, Idaho",2242,4987,2499,1026,1534,22170
16019,"Bonneville County, Idaho",6966,13885,7776,3765,5698,61900
16021,"Boundary County, Idaho",711,1335,680,165,231,5438
16023,"Butte County, Idaho",77,370,62,96,108,1179
16025,"Camas County, Idaho",54,133,65,15,17,431
16027,"Canyon County, Idaho",12992,31764,14654,6251,5719,115621
16029,"Caribou County, Idaho",368,646,446,261,235,3838
16031,"Cassia County, Idaho",1565,2961,2132,583,436,12544
16033,"Clark County, Idaho",102,148,51,2,10,532
16035,"Clearwater County, Idaho",325,815,564,171,147,3684
16037,"Custer County, Idaho",314,283,89,66,98,2001
16039,"Elmore County, Idaho",1695,5098,1771,796,363,14203
16041,"Franklin County, Idaho",939,1596,801,351,510,7052
16043,"Fremont County, Idaho",809,1512,814,349,262,6478
16045,"Gem County, Idaho",1474,2061,996,369,579,9254
16047,"Gooding County, Idaho",1224,2054,946,285,322,7650
16049,"Idaho County, Idaho",906,1392,1152,480,316,7516
16051,"Jefferson County, Idaho",1522,3096,2116,966,1152,15480
16053,"Jerome County, Idaho",1780,3738,1585,452,573,12476
16055,"Kootenai County, Idaho",7910,20358,12552,6235,5453,86566
16057,"Latah County, Idaho",1638,4552,2889,1544,1607,24386
16059,"Lemhi County, Idaho",439,547,668,130,167,3690
16061,"Lewis County, Idaho",139,348,232,69,61,1472
16063,"Lincoln County, Idaho",334,838,430,95,112,2770
16065,"Madison County, Idaho",2494,4179,2001,816,1143,30619
16067,"Minidoka County, Idaho",1289,2780,1449,404,433,10455
16069,"Nez Perce County, Idaho",1703,4860,3963,1686,1551,22457
16071,"Oneida County, Idaho",135,567,427,49,120,2311
16073,"Owyhee County, Idaho",628,1460,828,255,219,5708
16075,"Payette County, Idaho",702,4239,1958,373,623,12503
16077,"Power County, Idaho",396,1284,447,384,132,4187
16079,"Shoshone County, Idaho",853,1301,720,225,315,6100
16081,"Teton County, Idaho",551,1534,1150,447,656,6929
16083,"Twin Falls County, Idaho",4400,12159,6197,2775,2985,46345
16085,"Valley County, Idaho",643,998,709,308,322,5646
16087,"Washington County, Idaho",437,1090,575,175,208,4564
